,tweet_id,text,favorite_count,retweet_count,created_at
42,1398159905647906821,"RT @oluchristty: BIAFRA REMEMBRANCE 2021. 

We will never forget!

30th May we shall pray &amp; thank God for providing @MaziNnamdiKanu &amp; IPOB…",0,230,Fri May 28 06:11:12 +0000 2021
43,1398159901017268224,"RT @nizambakeri: @AzminAli Tak payah klik link tu. Meh aku tepek sini apa benda cleaner Mekah ni membebel.

Dok tanya bagaimana tu, bagaima…",0,591,Fri May 28 06:11:11 +0000 2021
44,1398159897016082433,"RT @Rconstantino: Não salvaram uma só vida, mas...

Impacto do lockdown na Argentina: em um ano, 11.800 hotéis e restaurantes quebraram e o…",0,351,Fri May 28 06:11:10 +0000 2021
45,1398159886647762950,"RT @AfDWahlkampf: Wir haben jetzt ein Zeitfenster von ca. 4 Monaten und dann ist #Corona wieder da und alles geht von vorne los. Wer denkt,…",0,25,Fri May 28 06:11:08 +0000 2021
46,1398159885414531078,RT @sallymcmanus: There are 500 000 casual workers in Victoria. Many will have lost all their income as a result of the Fed Govt failing to…,0,21,Fri May 28 06:11:07 +0000 2021
47,1398159881941655557,RT @V6_Suresh: CENTRE ADVICES STATES TO OPT FOR LOCKDOWN TILL END OF JUNE 2021. #lockdown2021 https://t.co/qPp5KdvfOj,0,12,Fri May 28 06:11:07 +0000 2021
48,1398159881555746821,"RT @shamaineothman: Nak bagitahu uolz skrg dekat UK, political adviser PM diorang baru dok bongkar strategi PM diorang masa lockdown tahun…",0,1483,Fri May 28 06:11:06 +0000 2021
49,1398159880016392196,"RT @datukhensem: Bila keputusan swab dari kluster berkaitan The Spring, Kuching keluar and menunjukkan lebih 40 kes positif, pihak KKM dan…",0,3903,Fri May 28 06:11:06 +0000 2021
50,1398159877910851586,@BJP4Delhi @adeshguptabjp Aadarniy Pradesh Adhyaksh Delhi Shriman Adesh Gupta Ji lockdown aur is corona mahamari ma… https://t.co/XhCDQBAtmb,0,0,Fri May 28 06:11:06 +0000 2021
51,1398159877319573504,RT @Unathi_Kwaza: They think we are all stupid. Haven't these people been stealing Covid funds since the lockdown started a year ago? When…,0,3,Fri May 28 06:11:05 +0000 2021
52,1398159877147553792,RT @rnrselatan: Dekat Melbourne dah 11 kes covid tapi terus buat lockdown. Malaysia ni? Kes dah beribu pun tetap pkp pkpd sampai abang jami…,0,7089,Fri May 28 06:11:05 +0000 2021
53,1398159875763445761,RT @RitaPanahi: Andrews’ language about the UK strain has consistently bordered on the hysterical: “Hyper-infectious variant moving at hype…,0,79,Fri May 28 06:11:05 +0000 2021
54,1398159875734007814,RT @azmanrocks: Kenapa kita perlu lockdown? Sebab kita mesti kurangkan kes aktif sampailah semua PKRC tutup menjelang bulan Ogos. Bulan Sep…,0,7325,Fri May 28 06:11:05 +0000 2021
55,1398159875264303109,"RT @AESPAIntl: [MYS LOCKDOWN] aespa has a high chance at winning 1st place on M Countdown. ❗

2 things every MYs should do:
🗳 cast your vot…",0,38,Fri May 28 06:11:05 +0000 2021
56,1398159867924279296,RT @f4izalhassan: Kerajaan Sarawak baru sahaja mengumumkan full lockdown bermula 29 Mei hingga 11 Jun.,0,13902,Fri May 28 06:11:03 +0000 2021
57,1398159867832045568,"RT @RT_com: 'Rather than taking on the power elites, via his promotion of lockdowns, Dominic Cummings, the punk Bolshevik, has ended up ser…",0,6,Fri May 28 06:11:03 +0000 2021
58,1398159865831297024,RT @InjangNation: Total lockdown sebenarnya tak meranapkan hidup rakyat dan terbukti berkesan menurunkan kes secara drastik dengan bantuan…,0,391,Fri May 28 06:11:03 +0000 2021
59,1398159865407672326,RT @more_rhutuja: @akki3212 To kya lockdown extend bhi hua to hamari great University kya karegi pata to hai hi sabko har baar ki tarah is…,0,2,Fri May 28 06:11:03 +0000 2021
60,1398159865185378305,RT @drrasheed2012: See the level of vandalism at the height of curfew/lockdown! I just came after clinic and discovered 😤😥 https://t.co/rGB…,0,40,Fri May 28 06:11:03 +0000 2021
61,1398159864506073098,"RT @NHSMillion: This is the Health Secretary Matt Hancock on 15th April 2020.

A full 23 days after the UK went into lockdown.

Please RT i…",0,1884,Fri May 28 06:11:02 +0000 2021
62,1398159861943357440,"RT @sugar_puff__: I did my comm serv at a PHC last year. Post lockdown level 4, there was a MASSIVE surge of undernourished children (most…",0,51,Fri May 28 06:11:02 +0000 2021
63,1398159860743774208,"RT @GillianMcKeith: Here we go........you are being prepped.....again...
Professor Lockdown warns TIGHTER restrictions may be needed as UK…",0,388,Fri May 28 06:11:02 +0000 2021
64,1398159859623862272,@jagriti_sinha Yeah...this lockdown ruined everything 😡,0,0,Fri May 28 06:11:01 +0000 2021
65,1398159856163561477,"Another Fabulous Fantastic Full up Fresh Friday. 8 am your place.  Inc: 2 from MJ. Mini hall,  Birthdays. Plus, we… https://t.co/9YsXH8JzHc",0,0,Fri May 28 06:11:00 +0000 2021
66,1398159855030919173,RT @AhronYoung: Burning the midnight oil to complete our new newsroom before lockdown! https://t.co/HEDgLD504C,0,2,Fri May 28 06:11:00 +0000 2021
67,1398159854460620803,"RT @shamaineothman: Nak bagitahu uolz skrg dekat UK, political adviser PM diorang baru dok bongkar strategi PM diorang masa lockdown tahun…",0,1483,Fri May 28 06:11:00 +0000 2021
68,1398159852816388097,RT @azmanrocks: Kenapa kita perlu lockdown? Sebab kita mesti kurangkan kes aktif sampailah semua PKRC tutup menjelang bulan Ogos. Bulan Sep…,0,7325,Fri May 28 06:11:00 +0000 2021
69,1398159852489248768,RT @azmanrocks: Kenapa kita perlu lockdown? Sebab kita mesti kurangkan kes aktif sampailah semua PKRC tutup menjelang bulan Ogos. Bulan Sep…,0,7325,Fri May 28 06:11:00 +0000 2021
